address,balance_wei,balance_ether,transaction_count,is_contract,total_transactions,sent_transactions,received_transactions,unique_sent_to_addresses,unique_received_from_addresses,total_ether_sent,total_ether_received,avg_value_sent,avg_value_received,max_value_sent,max_value_received,min_value_sent,min_value_received,time_diff_first_last_txn_mins,number_of_created_contracts,avg_min_between_sent_txn
0x00****4b9a,0,0.0,1,True,1907,0,1901,0,1380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149362.8,0,0.0
0x00****fa1c,0,0.0,10345663,True,10000,0,9985,0,1922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60570.53333333333,0,0.0
0x00****4f7e,10162056765047094661,10.162056765047094,823,True,10000,0,9936,0,323,0.0,4807.452806804975,0.0,0.4838418686397921,0.0,276.0,0.0,0.0,320808.9666666667,0,0.0
0x00****ce48,95025330721109264,0.0950253307211092,6488,True,76,0,73,0,26,0.0,0.6588021246521883,0.0,0.009024686639071,0.0,0.1,0.0,0.0,2447401.6333333333,0,0.0
0x00****6844,0,0.0,7586,True,466,0,464,0,238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026999.9833333332,0,0.0
0x00****6c83,0,0.0,1,True,8702,0,8653,0,6995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199694.7,0,0.0
0x00****7211,0,0.0,1,True,8609,0,3392,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919864.8,0,0.0
0x00****3cc9,0,0.0,1,True,10000,0,9850,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898280.6333333333,0,0.0
0x00****b376,0,0.0,183805,True,10000,0,9564,0,1771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27726.85,0,0.0
0x00****c952,0,0.0,1,True,10000,0,9944,0,9197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3003.0333333333333,0,0.0
0x00****2e1e,0,0.0,1,True,10000,0,9726,0,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97770.91666666669,0,0.0
0x00****7430,0,0.0,1,True,70,0,62,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619979.8,0,0.0
0x00****2000,1317241278902616,0.0013172412789026,1,True,319,0,306,0,12,0.0,29.175194534000003,0.0,0.0953437729869281,0.0,17.17157014,0.0,0.0,1486470.933333333,0,0.0
0x00****e581,1,1e-18,1,True,10000,0,8627,0,5574,0.0,1813.5702244696704,0.0,0.2102202648046447,0.0,19.8,0.0,0.0,4615.733333333334,0,0.0
0x00****ca79,0,0.0,1,True,317,0,306,0,118,0.0,3.110824990942921,0.0,0.0101660947416435,0.0,0.3,0.0,0.0,391474.6,0,0.0
0x00****f6f8,0,0.0,1,True,22,0,22,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357234.2,0,0.0
0x00****54f8,0,0.0,1486,True,1657,0,1518,0,926,0.0,150.4822717379971,0.0,0.0991319313162036,0.0,0.8,0.0,0.0,1391785.683333333,0,0.0
0x00****1c04,0,0.0,6626865,True,10000,0,9992,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141504.7,0,0.0
0x00****1a72,0,0.0,1,True,10000,0,9948,0,6385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7715.366666666667,0,0.0
0x00****7b1e,0,0.0,1,True,1300,0,1258,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746723.9333333333,0,0.0
0x00****8fc3,0,0.0,1,True,186,0,185,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1552789.3833333333,0,0.0
0x00****5b6e,0,0.0,1,True,10000,0,5721,0,3508,0.0,959.9073858933456,0.0,0.1677866432255454,0.0,2.5576041666666667,0.0,0.0,3631.65,0,0.0
0x00****23db,0,0.0,1,True,10000,0,9462,0,9461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.633333333333,0,0.0
0x00****fcec,0,0.0,1,True,77,0,71,0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452937.55,0,0.0
0x00****3ef7,0,0.0,1,True,30,0,26,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592918.3,0,0.0
0x00****7bc7,0,0.0,1,True,2413,0,2366,0,1362,0.0,1334.0,0.0,0.5638207945900253,0.0,5.0,0.0,0.0,1549977.65,0,0.0
0x00****ea00,0,0.0,1,True,203,0,187,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895306.15,0,0.0
0x00****05fa,61611352442243980550514795,61611352.442243986,1,True,10000,0,9865,0,1080,0.0,315488.0,0.0,31.980537252914345,0.0,32.0,0.0,1.0,57906.01666666667,0,0.0
0x00****64cc,0,0.0,1,True,395,0,385,0,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805566.1833333333,0,0.0
0x00****00a5,0,0.0,58153,True,10000,0,9975,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28901.25,0,0.0
0x00****0a04,0,0.0,1,True,8831,0,8808,0,4410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633550.933333333,0,0.0
0x00****b900,0,0.0,1,True,1554,0,1533,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2941864.7333333334,0,0.0
